,市场可交易,平均价格,最低价格
768,-1,-1,-1
769,0,0,0
770,1,47.36,48.64
771,0,0,0
772,1,0.99,1
773,1,14.77,14.85
774,1,0.59,0.59
775,-1,-1,-1
776,1,1.31,1.32
777,1,0.53,0.53
778,0,0,0
779,1,81.9,82.73
780,1,372.5,425.81
781,1,29.68,29.85
782,1,44.34,38.24
783,0,0,0
784,1,0.78,0.98
785,0,0,0
786,1,3.13,3.37
787,-1,-1,-1
788,-1,-1,-1
789,-1,-1,-1
790,-1,-1,-1
791,-1,-1,-1
792,-1,-1,-1
793,-1,-1,-1
794,-1,-1,-1
795,0,0,0
796,-1,-1,-1
797,0,0,0
798,-1,-1,-1
799,-1,-1,-1
800,-1,-1,-1
801,-1,-1,-1
802,-1,-1,-1
803,1,180.53,187.36
804,1,666,1.86
805,1,112.58,112.94
806,1,38.81,38.19
807,-1,-1,-1
808,-1,-1,-1
809,-1,-1,-1
810,-1,-1,-1
811,-1,-1,-1
812,0,0,0
813,1,3.67,3.79
814,-1,-1,-1
815,-1,-1,-1
816,-1,-1,-1
817,-1,-1,-1
818,-1,-1,-1
819,-1,-1,-1
820,-1,-1,-1
821,-1,-1,-1
822,-1,-1,-1
823,-1,-1,-1
824,-1,-1,-1
825,0,0,0
826,1,4.19,4.77
827,0,0,0
828,-1,-1,-1
829,-1,-1,-1
830,-1,-1,-1
831,-1,-1,-1
832,-1,-1,-1
833,-1,-1,-1
834,-1,-1,-1
835,-1,-1,-1
836,-1,-1,-1
837,-1,-1,-1
838,-1,-1,-1
839,0,0,0
840,-1,-1,-1
841,-1,-1,-1
842,-1,-1,-1
843,-1,-1,-1
844,-1,-1,-1
845,-1,-1,-1
846,-1,-1,-1
847,-1,-1,-1
848,1,6.62,7.48
849,-1,-1,-1
850,-1,-1,-1
851,1,2.57,2.56
852,-1,-1,-1
853,-1,-1,-1
854,-1,-1,-1
855,-1,-1,-1
856,-1,-1,-1
857,-1,-1,-1
858,-1,-1,-1
859,0,0,0
860,-1,-1,-1
861,-1,-1,-1
862,-1,-1,-1
863,-1,-1,-1
864,-1,-1,-1
865,-1,-1,-1
866,1,2.19,2.24
867,0,0,0
868,-1,-1,-1
869,-1,-1,-1
870,-1,-1,-1
871,-1,-1,-1
872,-1,-1,-1
873,-1,-1,-1
874,-1,-1,-1
875,-1,-1,-1
876,-1,-1,-1
877,-1,-1,-1
878,-1,-1,-1
879,-1,-1,-1
880,1,13.99,13.69
881,1,94.21,105.96
882,0,0,0
883,1,9.73,9.73
884,-1,-1,-1
885,-1,-1,-1
886,1,0.35,0.35
887,1,1.46,1.7
888,1,11.48,11.5
889,1,1.34,1.45
890,-1,-1,-1
891,0,0,0
892,-1,-1,-1
893,-1,-1,-1
894,-1,-1,-1
895,-1,-1,-1
896,-1,-1,-1
897,-1,-1,-1
898,-1,-1,-1
899,-1,-1,-1
900,-1,-1,-1
901,-1,-1,-1
902,-1,-1,-1
903,-1,-1,-1
904,-1,-1,-1
905,-1,-1,-1
906,-1,-1,-1
907,-1,-1,-1
908,-1,-1,-1
909,-1,-1,-1
910,-1,-1,-1
911,-1,-1,-1
912,-1,-1,-1
913,-1,-1,-1
914,1,34.87,35.83
915,1,2.76,3.27
916,1,0.84,0.83
917,1,1.62,1.7
918,1,12.54,12.55
919,1,666,90
920,0,0,0
921,1,0.72,0.71
922,1,666,30.2
923,-1,-1,-1
924,-1,-1,-1
925,-1,-1,-1
926,0,0,0
927,-1,-1,-1
928,1,36.66,37.78
929,-1,-1,-1
930,0,0,0
931,1,16.36,15.96
932,0,0,0
933,-1,-1,-1
934,-1,-1,-1
935,-1,-1,-1
936,-1,-1,-1
937,-1,-1,-1
938,-1,-1,-1
939,-1,-1,-1
940,0,0,0
941,-1,-1,-1
942,-1,-1,-1
943,-1,-1,-1
944,-1,-1,-1
945,1,29.75,29.9
946,-1,-1,-1
947,-1,-1,-1
948,0,0,0
949,-1,-1,-1
950,-1,-1,-1
951,-1,-1,-1
952,-1,-1,-1
953,-1,-1,-1
954,-1,-1,-1
955,-1,-1,-1
956,-1,-1,-1
957,0,0,0
958,-1,-1,-1
959,-1,-1,-1
960,-1,-1,-1
961,-1,-1,-1
962,-1,-1,-1
963,-1,-1,-1
964,-1,-1,-1
965,-1,-1,-1
966,1,6.14,6.75
967,1,0.37,0.35
968,1,3.34,3.46
969,1,3.7,3.64
970,-1,-1,-1
971,1,0.33,0.21
